BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;66;53520;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;140;92648;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;248;67036;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;481;61952;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;6;7680;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;12;13016;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;27;27344;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;56;53520;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;100;92648;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;155;67036;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;273;61952;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;6;7680;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;9;13016;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;19;27344;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;38;53520;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;59;92648;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;82;67036;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;139;61952;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;7;7680;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;13;13016;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;26;27344;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;50;53520;
